customer_id,first_name,last_name,email,phone,city,state,registration_date
1,Gail,Rose,joanne55@example.com,739.759.2618,West Monicaborough,Nebraska,2024-11-30
2,Russell,Graham,jenniferjoyce@example.com,+1-561-901-0588,Lake Dennisborough,New Jersey,2025-09-22
3,Carrie,Santos,mdixon@example.org,373-885-8027x9826,Port Chrisshire,New Mexico,2025-05-15
4,Amy,Brown,andersonshannon@example.com,912.699.6633,Angelaport,Maine,2024-10-28
5,Tasha,Gaines,heather69@example.com,001-309-476-2047,Hernandezton,Connecticut,2026-03-29
6,Anthony,Mcdonald,ryan87@example.net,307-303-4461x1058,South Yolandaport,Hawaii,2025-01-13
7,Alan,Elliott,dnorris@example.org,001-747-846-1728x7748,Webbmouth,Ohio,2024-01-11
8,Dawn,Rosario,miranda16@example.com,724-706-5547x81594,New Elizabeth,California,2025-02-25
9,Jason,Williams,fstein@example.net,668.374.2672x99689,Melindamouth,Missouri,2025-01-28
10,Rachel,Petty,gwendolyn19@example.net,400-836-2886x6013,East Davidshire,Kentucky,2025-03-08
11,Richard,Patrick,vernon59@example.org,783-274-7303,Yeseniabury,Utah,2024-06-17
12,Ashley,Jones,bryantdavid@example.net,457.776.0582x49149,Jamesville,Kentucky,2026-03-05
13,Patrick,Swanson,christopher27@example.net,808.979.7394x83895,Colonside,New Jersey,2024-01-17
14,Jacob,Woods,hallwilliam@example.net,632.634.7296x38407,North Thomas,Hawaii,2024-07-31
15,Ashley,Andrews,markallen@example.com,323-658-6418x01012,East Bryan,Michigan,2024-11-05
16,Jesse,Lewis,hlewis@example.com,001-778-654-7644x314,Chavezmouth,Minnesota,2024-12-01
17,Robert,Logan,chad10@example.com,704.377.6308,North Sabrina,New Jersey,2024-09-23
18,Elizabeth,Hull,caseydavid@example.org,+1-458-230-2020x40335,Swansonview,Oklahoma,2025-04-01
19,Henry,Wright,mariacraig@example.org,(775)611-3556x38051,New James,Florida,2025-08-25
20,Parker,Johnson,codygross@example.net,798-500-7151x55681,Nicholaston,Illinois,2026-06-06
21,Karen,Salinas,utaylor@example.org,746-944-8217x089,Priceshire,Alabama,2026-04-08
22,Danny,Rivera,wherman@example.org,824-945-8590x533,New Sarahstad,West Virginia,2024-03-26
23,Frank,Williams,nicholas14@example.net,388-457-5045x274,Lake Wesley,Maine,2026-03-26
24,Tanya,Mercer,megan59@example.org,386-670-5581,Margarettown,Arkansas,2023-07-30
25,Lindsey,Collier,richardmartin@example.net,+1-823-797-1642,Georgechester,Idaho,2024-07-12
26,Joseph,Wagner,lorireyes@example.com,994-941-2367x612,Medinatown,Oklahoma,2023-08-26
27,Lauren,Rojas,twells@example.org,+1-295-527-8304,East Laurahaven,Hawaii,2023-09-12
28,Sherri,Garcia,eric01@example.net,353.206.5509,New Beverlyborough,Pennsylvania,2024-08-23
29,Nicholas,Blanchard,xhenry@example.net,520.979.7435,New Michael,Arkansas,2026-06-02
30,David,Roberts,sarah31@example.org,992.300.7594x32799,West Hectorberg,Kentucky,2024-02-21
31,Eric,Ortiz,james20@example.com,671-267-5063x092,Cookefort,Oregon,2026-05-16
32,Tiffany,Brown,moralesalyssa@example.org,705-525-0827x90045,Vasquezmouth,Maryland,2024-09-22
33,James,Barr,tiffanybennett@example.org,+1-556-472-1143x20251,New Joanne,Rhode Island,2024-03-31
34,Thomas,Salazar,efields@example.net,704-663-3227x794,South Jerryton,Oregon,2024-12-18
35,Jim,Hernandez,stacey72@example.org,962-278-4817x79907,Lake Wendychester,Utah,2024-02-03
36,Ashley,Davis,diana80@example.com,536-595-5751,Millerburgh,Mississippi,2026-02-09
37,David,White,carlsonaustin@example.com,001-227-309-8720x181,Luismouth,Vermont,2025-11-30
38,Amy,Gilbert,dgarcia@example.net,562-365-0874,Wareborough,Delaware,2026-07-09
39,Benjamin,Sosa,castanedarandy@example.org,001-621-394-1784x32586,Josephberg,Maine,2025-02-16
40,Joshua,Haas,robert27@example.com,(326)205-5171x10858,East Kevinshire,Florida,2024-09-16
41,Katrina,Pratt,gabrielolsen@example.com,(240)717-1174x47822,South Paulstad,Ohio,2023-09-17
42,Jessica,Sanchez,ashleylove@example.com,(771)697-7666x71007,Port Bridgetfort,Massachusetts,2023-09-16
43,Marcus,Owens,jgomez@example.com,780.282.4670,Williamsborough,Colorado,2023-08-06
44,David,Brewer,emily47@example.org,(857)520-1346x509,Port Ericaville,Maine,2023-11-15
45,Christine,Smith,daniel70@example.net,921-376-0081x82995,West Brettville,Oregon,2026-05-05
46,Vanessa,Hansen,utorres@example.net,+1-733-983-4741,North Jennifer,Delaware,2025-11-16
47,Tyler,Estrada,urobinson@example.com,698.475.9876,Frederickside,Washington,2025-05-23
48,Shannon,Gregory,tmiranda@example.org,(229)452-0590x6858,South Amberport,Wisconsin,2023-07-30
49,Melanie,Mckinney,xdavis@example.org,620-889-2180x630,Richardton,Arizona,2025-12-16
50,Susan,Douglas,qking@example.net,(454)959-5981x2258,Rickyview,Indiana,2023-10-25
51,Bobby,Hampton,kellymichael@example.net,864-796-9227,New Chad,South Dakota,2025-02-23
52,Kenneth,Lyons,schapman@example.com,+1-363-606-9604x68662,Bradfordfurt,Maine,2026-04-04
53,Gregory,Cannon,parkerbridget@example.org,+1-958-864-4706,Carrietown,Washington,2024-09-13
54,Emily,Woodward,qwillis@example.com,(374)959-4850,West Robert,Louisiana,2025-07-07
55,Nancy,Alvarez,uguzman@example.net,001-784-589-3587,Josetown,Nebraska,2024-08-07
56,Jessica,Randall,lewiskelly@example.net,(967)239-0463,Holmeshaven,Alaska,2023-09-06
57,Catherine,Hickman,kathrynjones@example.com,+1-885-449-3942x92369,Meyerville,New Jersey,2026-01-28
58,Shawn,Ray,seth98@example.com,4344294736,Lake Joshuafort,Delaware,2023-10-16
59,William,Bishop,franciscopoole@example.net,913.593.1495x40842,Ashleyton,Texas,2026-04-21
60,Shawn,Martin,ibraun@example.com,(295)753-7750x7569,Marquezport,New York,2024-03-07
61,Amber,Calderon,jeffrey52@example.com,321-470-8160x13446,Victorview,Missouri,2024-07-28
62,Justin,Martin,holmesallen@example.org,+1-321-745-0048x678,Port Dianefort,Maine,2025-03-18
63,Michael,Murphy,stephanie18@example.net,+1-473-666-3861x46104,Huanghaven,Montana,2025-08-27
64,Daniel,Everett,david17@example.org,(760)562-6361x5330,North James,Vermont,2024-02-16
65,Matthew,Luna,jessicarojas@example.com,984.723.4552x85612,Port Nicoleton,Alaska,2025-12-30
66,Derek,Miller,yenglish@example.org,850.479.0478,North Dwayne,Alaska,2024-10-03
67,Krista,Smith,mark67@example.com,001-481-280-4665x33868,Lake Tabitha,Rhode Island,2024-09-25
68,Kelly,Mathis,amy35@example.net,220-278-6653x8438,Wadeland,New York,2024-08-14
